strain	virus	isolate_id	date	region	country	division	location	host	domestic_status	subtype
A/duck/Minnesota/1525/1981	avian_flu	CY014726	1981-10-17	North America	Usa	Minnesota	Minnesota	Minnesota	?	?
A/mallard/Wisconsin/568/1982	avian_flu	CY179411	1982-XX-XX	North America	Usa	Wisconsin	Wisconsin	Avian	?	?
A/turkey/Ontario/84/1983	avian_flu	EU871820	1983-01-XX	North America	Canada	Ontario	Ontario	Avian	?	?
A/turkey/England/50_92/1991	avian_flu	EU636692	1991-XX-XX	Europe	United Kingdom	England	England	Avian	?	?
A/Goose/Guangdong/1/1996	avian_flu	AF144305	1996-XX-XX	China	China	Guangdong	Guangdong	Avian	?	?
A/goose/Guangdong/3/1997	avian_flu	AF364334	1997-XX-XX	China	China	Guangdong	Guangdong	Avian	?	?
A/Swine/Fujian/F1/2001	avian_flu	AY747617	2001-XX-XX	China	China	Fujian	Fujian	Nonhuman Mammal	?	?
A/goose/Guangdong/xb/2001	avian_flu	DQ997522	2001-XX-XX	China	China	Guangdong	Guangdong	Avian	?	?
A/openbill_stork/Thailand/VSMU_4_NSN/2004	avian_flu	HM627913	2004-02-05	Southeast Asia	Thailand	Thailand	Thailand	Avian	?	?
A/Guangxi/1/2005	avian_flu	DQ371930	2005-11-23	China	China	Guangxi	Guangxi	Human	?	?
A/chicken/Vietnam/NCVD11/2005	avian_flu	CY036719	2005-XX-XX	Southeast Asia	Vietnam	Vietnam	Vietnam	Avian	?	?
A/open_billed_stork/Nakhonsawan/BBA3011M/2005	avian_flu	DQ990003	2005-XX-XX	Southeast Asia	Thailand	Nakhonsawan	Nakhonsawan	Avian	?	?
A/environment/Hunan/1_8/2007	avian_flu	GU182214	2007-03-XX	China	China	Hunan	Hunan	Environment	?	?
A/chicken/Egypt/CL6/2007	avian_flu	AB465592	2007-03-XX	Africa	Egypt	Egypt	Egypt	Avian	?	?
A/environment/Hunan/1_35/2007	avian_flu	GU182222	2007-03-XX	China	China	Hunan	Hunan	Environment	?	?
A/duck/SocTrang/07_25/2007	avian_flu	GU050357	2007-XX-XX	Southeast Asia	Vietnam	Soc Trang	Soc Trang	Avian	?	?
A/chicken/Egypt/083/2008	avian_flu	CY044032	2008-01-02	Africa	Egypt	Egypt	Egypt	Avian	?	?
A/chicken/Egypt/0813_NLQP/2008	avian_flu	KR732574	2008-01-04	Africa	Egypt	Egypt	Egypt	Avian	?	?
A/environment/Guizhou/4/2009	avian_flu	CY098806	2009-01-16	China	China	Guizhou	Guizhou	Environment	who_chinese_national_influenza_center	?
A/water/Xinjiang/3/2009	avian_flu	CY098830	2009-01-16	China	China	Xinjiang	Xinjiang	Environment	who_chinese_national_influenza_center	?
A/environment/Guizhou/9/2009	avian_flu	CY098822	2009-01-16	China	China	Guizhou	Guizhou	Environment	who_chinese_national_influenza_center	?
A/quail/Vietnam/CVVI_49/2010	avian_flu	KP872890	2010-01-10	Southeast Asia	Vietnam	Vietnam	Vietnam	Avian	?	?
A/Vietnam/UT36250_1/2010	avian_flu	KP638510	2010-03-05	Southeast Asia	Vietnam	Vietnam	Vietnam	Human	?	?
A/duck/Lao/6/2010	avian_flu	CY098309	2010-03-XX	Southeast Asia	Laos	Laos	Laos	Avian	?	?
A/wild_duck/Fujian/2/2011	avian_flu	JX534597	2011-03-11	China	China	Fujian	Fujian	Avian	?	?
A/peregrine_falcon/Aomori/7/2011	avian_flu	AB629713	2011-03-15	Japan Korea	Japan	Aomori	Aomori	Avian	?	?
A/chicken/Chiba/1/2011	avian_flu	AB684261	2011-03-XX	Japan Korea	Japan	Chiba	Chiba	Avian	?	?
A/muscovy_duck/Vietnam/LBM335/2013	avian_flu	AB828097	2013-01-07	Southeast Asia	Vietnam	Vietnam	Vietnam	Avian	?	?
A/chicken/Vietnam/NCVD_KA423/2013	avian_flu	KP097915	2013-01-09	Southeast Asia	Vietnam	Vietnam	Vietnam	Avian	?	?
A/duck/Vietnam/NCVD_2745/2013	avian_flu	KY171470	2013-01-10	Southeast Asia	Vietnam	Vietnam	Vietnam	Avian	?	?
A/chicken/Vietnam/NCVD14_A459/2014	avian_flu	KY171151	2014-02-17	Southeast Asia	Vietnam	Vietnam	Vietnam	Avian	?	?
A/duck/Egypt/17EG_BS1/2017	avian_flu	MF768890	2017-03-18	Africa	Egypt	Egypt	Egypt	Avian	?	?
A/duck/Bangladesh/34752/2018	avian_flu	MH791817	2018-01-24	South Asia	Bangladesh	Bangladesh	Bangladesh	Avian	?	?
